Dzisiaj Michał podkół mi wszystkie konie hodowlane u mnie w stajni  Stan hodowli: Konie sportowe-Gina:2;  Konie hodowlane-Luna:3;Tajfun:4 Konie rekreacyjne-Mustang:5;Tolo:6 Źrebaki-Szara:7 Kowale-Michał Kowalski:1;Wiktor Machowski:2 Weterynarze-Darek Nowak:1  Dzsiaj jest 17.05.2025	{"konieId":[3,4],"kowal":1,"dataZdarzenia":"2025-05-17","dataRozpoczecia":"2025-05-17","dataWaznosci":"2025-08-09"}
Byłem przedwczoraj u Piotrka Węglarskiego z Atlasem na podkuciu.  Stan hodowli: Konie sportowe-Atlas:3;Wicher:1 Konie hodowlane-Kora:2;Rumba:5 Konie rekreacyjne-Foks:4;Bryza:6 Źrebaki-Beryl:2 Kowale-Jan Wrona:2;Piotr Węglarski:3 Weterynarze-Katarzyna Lis:1  Dzisiaj jest 10.05.2025	{"konieId":[3],"kowal":3,"dataZdarzenia":"2025-05-10","dataRozpoczecia":"2025-05-10","dataWaznosci":"2025-08-02"}
Stefan pojechał 24 maja do Mazura z źrebakami na podkucie.  Stan hodowli: Konie sportowe-Tornado:2;Neon:3 Konie hodowlane-Mira:4;Gracja:2 Konie rekreacyjne-Odi:5;Lori:3 Źrebaki-Zefir:1;Plamka:2 Kowale-Andrzej Duda:1;Rafał Mazur:2 Weterynarze-Anna Kamińska:1;Tomasz Żuk:2	{"konieId":[1,2],"kowal":2,"dataZdarzenia":"2025-05-24","dataRozpoczecia":"2025-05-24","dataWaznosci":"2025-08-16"}
Moja Bella miała 12 maja podkuwanie u Mateusza Króla, jest ważne do 19.08.2025.  Stan hodowli: Konie sportowe-Nero:1;Hektor:2 Konie hodowlane-Luna:3;Bella:1 Konie rekreacyjne-Czarek:6;Saba:5 Źrebaki-Miki:4 Kowale-Mateusz Król:3;Mikołaj Róg:1 Weterynarze-Patrycja Lewandowska:2	{"konieId":[1],"kowal":3,"dataZdarzenia":"2025-05-12","dataRozpoczecia":"2025-05-12","dataWaznosci":"2025-08-19"}
Dzisiaj Wrona podkuł Błyska i Sambę przed zawodami. Stan hodowli: Konie sportowe-Błysk:1;Orion:2;Flash:3 Konie hodowlane-Luna:4;Rumba:5;Selena:6;Tina:7 Konie rekreacyjne-Samba:8;Mustang:9;Tolo:10;Felka:11;Luzak:12 Źrebaki-Zefir:13 Kowale-Jan Wrona:1;Piotr Nowacki:2 Weterynarze-Karolina Kurowska:1  Dzsiaj jest 31.05.2025	{"konieId":[1,8],"kowal":1,"dataZdarzenia":"2025-05-31","dataRozpoczecia":"2025-05-31","dataWaznosci":"2025-07-12"}
MIchał Wczoraj podkuł wszystkie konie Stan hodowli: Konie sportowe-Atlas:1;Radar:2;Zenit:3;Cyklon:4 Konie hodowlane-Kora:5;Mira:6;Fanta:7 Konie rekreacyjne-Nela:8;Czarek:9;Bryza:10 Źrebaki-Tosia:11;Iskra:12;Drops:13;Oliwka:14 Kowale-Michał Kowalski:1;Wiktor Machowski:2 Weterynarze-Darek Nowak:1 Dzisiaj jest 19.05.2025	{"konieId":[1,2,3,4,5,6,7,8,9,10,11,12,13,14],"kowal":1,"dataZdarzenia":"2025-05-18","dataRozpoczecia":"2025-05-18","dataWaznosci":"2025-06-29"}
Dodaj mi prosze informacje o tym ze Brzezinski byl u mnie 17 maja i podkuł wszystkie konie sportowe Stan hodowli: Konie sportowe-Gina:1;Neon:2;Skra:3 Konie hodowlane-Bella:4;Milka:5;Gracja:6;Aura:7 Konie rekreacyjne-Felka:8;Samba:9;Bambi:10 Źrebaki-Figa:11;Mała:12;Plamka:13 Kowale-Radosław Kowal:1;Hubert Brzeziński:2 Weterynarze-Ewelina Maj:1	{"konieId":[1,2,3],"kowal":2,"dataZdarzenia":"2025-05-17","dataRozpoczecia":"2025-05-17","dataWaznosci":"2025-06-28"}
Zbysiu dziś podkuł mi wszystkie źrebaki Stan hodowli: Konie sportowe-Lotos:1;Hektor:2;Tornado:3;Wicher:4 Konie hodowlane-Gaja:5;Róża:6;Klementyna:7 Konie rekreacyjne-Borys:8;Tofik:9;Teksas:10;Kodi:11;Zara:12 Źrebaki-Mgiełka:13;Leo:14;Iskra:15 Kowale-Wiktor Machowski:1;Zbigniew Marecki:2 Weterynarze-Aleksandra Czajka:1 Dzisiaj jest 30.06.2024	{"konieId":[13,14,15],"kowal":2,"dataZdarzenia":"2025-06-30","dataRozpoczecia":"2025-06-30","dataWaznosci":"2025-09-29"}
Andrzej tydzień temu podkuł Merlina, zapomniałem to dodać zajmij się tym Stan hodowli: Konie sportowe-Piorun:1;Atlas:5;Simba:14 Konie hodowlane-Kleo:4;Selena:2;Dakota:6;Mira:7 Konie rekreacyjne-Mustang:8;Bryza:9;Felka:10;Merlin:11 Źrebaki-Bąbel:12;Oliwka:3;Figa:13;Zefir:15 Kowale-Rafał Mazur:1;Andrzej Duda:2 Weterynarze-Dominika Pawlak:1 Dzisiaj jest 19.05.2025	{"konieId":[11],"kowal":2,"dataZdarzenia":"2025-05-12","dataRozpoczecia":"2025-05-12","dataWaznosci":"2025-06-23"}
Dzisiaj Zbigniew Marecki podkuł Tornado, Luzaka i Błysk Stan hodowli: Konie sportowe-Tornado:1;Błysk:2;Orion:3;Grafit:5 Konie hodowlane-Fala:4;Rumba:5;Klementyna:7;Aura:8 Konie rekreacyjne-Luzak:9;Samba:10;Tofik:12;Zara:13;Bryza:16 Źrebaki-Mgiełka:11;Oliwka:14;Drops:15 Kowale-Zbigniew Marecki:1;Jan Wrona:2 Weterynarze-Iwona Michalska:1 Dzisaj jest 19.05.2025	{"konieId":[1,2,9],"kowal":1,"dataZdarzenia":"2025-05-19","dataRozpoczecia":"2025-05-19","dataWaznosci":"2025-06-30"}
